记录ID,公司名称,招聘岗位,工作城市,毕业年份,学历要求,招聘批次,企业性质,是否笔试,截止日期,公告链接,投递链接,备注
S-001,拓界机器人,机器人产品经理,上海,2027届,硕士,秋招,民营企业,有笔试,2026-09-15,https://careers.robotics-frontier.example/jobs/RP2101,https://careers.robotics-frontier.example/jobs/RP2101,合成具体岗位
S-002,晶程设备,半导体设备技术产品经理,"上海、苏州",2027届,硕士,秋招,民营企业,有笔试,2026-09-25,https://careers.crystal-tool.example/jobs/SE3301,https://careers.crystal-tool.example/jobs/SE3301,合成具体岗位
S-003,澄数科技,数据产品经理（指标平台）,上海,2027届,"本科、硕士",秋招,民营企业,免笔试,招满为止,https://jobs.clear-data.example/jobs/DP2201,https://jobs.clear-data.example/jobs/DP2201,合成具体岗位
S-004,言衡智能,大模型评测产品实习生,"上海、杭州",2027届,硕士,实习,民营企业,有笔试,尽快投递,https://jobs.eval-intelligence.example/jobs/EV4101,https://jobs.eval-intelligence.example/jobs/EV4101,合成具体岗位
S-005,衡川工业,工业软件解决方案经理,"上海、南京",2027届,硕士,秋招,国企,有笔试,2026-10-15,https://careers.hengchuan-industry.example/jobs/IS5101,https://careers.hengchuan-industry.example/jobs/IS5101,合成具体岗位
S-006,经纬仿真,仿真平台产品经理,上海,2027届,硕士,提前批,民营企业,免笔试,2026-09-10,https://jobs.simulation-grid.example/jobs/SIM601,https://jobs.simulation-grid.example/jobs/SIM601,合成具体岗位
S-007,云舟开发者平台,开发者产品经理,"上海、杭州",2027届,"本科、硕士",秋招,民营企业,有笔试,招满为止,https://careers.dev-ark.example/jobs/DEV701,https://careers.dev-ark.example/jobs/DEV701,合成具体岗位
S-008,智造协同,制造数字化产品经理,"上海、苏州",2027届,硕士,秋招,国企,有笔试,2026-10-20,https://jobs.smart-factory.example/jobs/MFG801,https://jobs.smart-factory.example/jobs/MFG801,合成具体岗位
S-009,星环智联,技术项目经理（AI平台）,上海,2027届,硕士,秋招,民营企业,有笔试,2026-09-28,https://careers.starloop.example/jobs/TPM901,https://careers.starloop.example/jobs/TPM901,合成具体岗位
S-010,智行软件,智能驾驶数据闭环产品经理,上海,2027届,硕士,秋招,民营企业,有笔试,2026-09-18,https://jobs.autonomy-flow.example/position/AD110,https://jobs.autonomy-flow.example/position/AD110,合成具体岗位
S-011,砺芯系统,AI算力产品运营,上海,2027届,"本科、硕士",秋招,民营企业,有笔试,招满为止,https://careers.compute-core.example/position/AI120,https://careers.compute-core.example/position/AI120,合成具体岗位
S-012,灵犀多模态,多模态应用产品经理,"上海、北京",2027届,硕士,提前批,民营企业,免笔试,2026-09-12,https://jobs.multimodal-lab.example/position/MM130,https://jobs.multimodal-lab.example/position/MM130,合成具体岗位
S-013,海岳数据,产品数据分析师,上海,2027届,"本科、硕士",秋招,外企,有笔试,2026-10-08,https://careers.ocean-metrics.example/position/DA140,https://careers.ocean-metrics.example/position/DA140,合成具体岗位
S-014,曜石云,企业AI解决方案产品经理,上海,2027届,硕士,秋招,民营企业,免笔试,尽快投递,https://jobs.obsidian-cloud.example/position/ENT150,https://jobs.obsidian-cloud.example/position/ENT150,合成具体岗位
S-015,量枢科技,模型评测与数据产品经理,"上海、杭州",2027届,硕士,秋招,民营企业,有笔试,2026-09-30,https://careers.model-axis.example/position/MO160,https://careers.model-axis.example/position/MO160,合成具体岗位
S-016,远岚能源,能源数字化产品经理,"上海、乌鲁木齐",2027届,硕士,秋招,民营企业,有笔试,2026-10-31,https://jobs.far-energy.example/position/EN170,https://jobs.far-energy.example/position/EN170,合成具体岗位
S-017,凌云工具链,AI开发工具产品经理,上海,2027届,"本科、硕士",秋招,民营企业,免笔试,招满为止,https://careers.dev-toolchain.example/position/TO180,https://careers.dev-toolchain.example/position/TO180,合成具体岗位
S-018,众擎自动化,机器人交付产品经理,"上海、苏州",2027届,硕士,秋招,民营企业,有笔试,2026-09-22,https://jobs.robot-delivery.example/position/RO190,https://jobs.robot-delivery.example/position/RO190,合成具体岗位
